sport,venue,session_code,session_date,session_type,session_description,start_time,end_time
3x3 Basketball,Valley Complex 3,BK301,2028-07-16,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),14:00:00,16:00:00
3x3 Basketball,Valley Complex 3,BK302,2028-07-16,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),17:30:00,19:30:00
3x3 Basketball,Valley Complex 3,BK303,2028-07-16,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),21:00:00,23:00:00
3x3 Basketball,Valley Complex 3,BK304,2028-07-17,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),14:00:00,16:00:00
3x3 Basketball,Valley Complex 3,BK305,2028-07-17,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),17:30:00,19:30:00
3x3 Basketball,Valley Complex 3,BK306,2028-07-17,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),21:00:00,23:00:00
3x3 Basketball,Valley Complex 3,BK307,2028-07-18,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),14:00:00,16:00:00
3x3 Basketball,Valley Complex 3,BK308,2028-07-18,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),17:30:00,19:30:00
3x3 Basketball,Valley Complex 3,BK309,2028-07-18,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),21:00:00,23:00:00
3x3 Basketball,Valley Complex 3,BK310,2028-07-19,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),14:00:00,16:00:00
3x3 Basketball,Valley Complex 3,BK311,2028-07-19,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),17:30:00,19:30:00
3x3 Basketball,Valley Complex 3,BK312,2028-07-19,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),21:00:00,23:00:00
3x3 Basketball,Valley Complex 3,BK313,2028-07-20,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),14:00:00,16:00:00
3x3 Basketball,Valley Complex 3,BK314,2028-07-20,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),17:30:00,19:30:00
3x3 Basketball,Valley Complex 3,BK315,2028-07-20,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),21:00:00,23:00:00
3x3 Basketball,Valley Complex 3,BK316,2028-07-21,Preliminary,Men's Play-In (2 Games); Women's Play-In (2 Games),14:00:00,16:00:00
