sport,venue,zone,session_code,session_date,session_type,session_description,start_time,end_time
3x3 Basketball,Valley Complex 3,Valley Zone,BK301,2028-07-16,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),14:00:00,16:00:00
3x3 Basketball,Valley Complex 3,Valley Zone,BK302,2028-07-16,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),17:30:00,19:30:00
3x3 Basketball,Valley Complex 3,Valley Zone,BK303,2028-07-16,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),21:00:00,23:00:00
3x3 Basketball,Valley Complex 3,Valley Zone,BK304,2028-07-17,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),14:00:00,16:00:00
3x3 Basketball,Valley Complex 3,Valley Zone,BK305,2028-07-17,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),17:30:00,19:30:00
3x3 Basketball,Valley Complex 3,Valley Zone,BK306,2028-07-17,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),21:00:00,23:00:00
3x3 Basketball,Valley Complex 3,Valley Zone,BK307,2028-07-18,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),14:00:00,16:00:00
3x3 Basketball,Valley Complex 3,Valley Zone,BK308,2028-07-18,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),17:30:00,19:30:00
3x3 Basketball,Valley Complex 3,Valley Zone,BK309,2028-07-18,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),21:00:00,23:00:00
3x3 Basketball,Valley Complex 3,Valley Zone,BK310,2028-07-19,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),14:00:00,16:00:00
3x3 Basketball,Valley Complex 3,Valley Zone,BK311,2028-07-19,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),17:30:00,19:30:00
3x3 Basketball,Valley Complex 3,Valley Zone,BK312,2028-07-19,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),21:00:00,23:00:00
3x3 Basketball,Valley Complex 3,Valley Zone,BK313,2028-07-20,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),14:00:00,16:00:00
3x3 Basketball,Valley Complex 3,Valley Zone,BK314,2028-07-20,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),17:30:00,19:30:00
3x3 Basketball,Valley Complex 3,Valley Zone,BK315,2028-07-20,Preliminary,Men's Pool Round (2 Games); Women's Pool Round (2 Games),21:00:00,23:00:00
3x3 Basketball,Valley Complex 3,Valley Zone,BK316,2028-07-21,Preliminary,Men's Play-In (2 Games); Women's Play-In (2 Games),14:00:00,16:00:00
3x3 Basketball,Valley Complex 3,Valley Zone,BK317,2028-07-21,Quarterfinal,Men's Quarterfinal (2 Games); Women's Quarterfinal (2 Games),17:30:00,19:30:00
3x3 Basketball,Valley Complex 3,Valley Zone,BK318,2028-07-21,Quarterfinal,Men's Quarterfinal (2 Games); Women's Quarterfinal (2 Games),21:00:00,23:00:00
3x3 Basketball,Valley Complex 3,Valley Zone,BK319,2028-07-22,Semifinal,Men's Semifinal (2 Games); Women's Semifinal (2 Games),17:00:00,19:00:00
3x3 Basketball,Valley Complex 3,Valley Zone,BK320,2028-07-22,Final,Men's Bronze Medal Game; Women's Bronze Medal Game; Men's Gold Medal Game; Women's Gold Medal Game,21:00:00,23:30:00
Archery,Carson Stadium,Carson Zone,ARC03,2028-07-21,Final,Compound Mixed Team 1/8 Elimination Round; Compound Mixed Team Quarterfinal; Compound Mixed Team Semifinal; Compound Mixed Team Bronze Medal Match; Compound Mixed Team Gold Medal Match,19:30:00,23:15:00
Archery,Carson Stadium,Carson Zone,ARC04,2028-07-22,Preliminary,Recurve Men's Individual 1/32 Elimination Round; Recurve Women's Individual 1/32 Elimination Round; Recurve Men's Individual 1/16 Elimination Round; Recurve Women's Individual 1/16 Elimination Round,09:30:00,12:35:00
Archery,Carson Stadium,Carson Zone,ARC05,2028-07-22,Preliminary,Recurve Men's Individual 1/32 Elimination Round; Recurve Women's Individual 1/32 Elimination Round; Recurve Men's Individual 1/16 Elimination Round; Recurve Women's Individual 1/16 Elimination Round,20:00:00,22:40:00
Archery,Carson Stadium,Carson Zone,ARC06,2028-07-23,Preliminary,Recurve Men's Individual 1/32 Elimination Round; Recurve Women's Individual 1/32 Elimination Round; Recurve Men's Individual 1/16 Elimination Round; Recurve Women's Individual 1/16 Elimination Round,09:30:00,12:35:00
Archery,Carson Stadium,Carson Zone,ARC07,2028-07-23,Preliminary,Recurve Men's Individual 1/32 Elimination Round; Recurve Women's Individual 1/32 Elimination Round; Recurve Men's Individual 1/16 Elimination Round; Recurve Women's Individual 1/16 Elimination Round,20:00:00,22:40:00
Archery,Carson Stadium,Carson Zone,ARC08,2028-07-24,Preliminary,Recurve Women's Individual 1/32 Elimination Round; Recurve Women's Individual 1/16 Elimination Round,09:30:00,12:35:00
Archery,Carson Stadium,Carson Zone,ARC09,2028-07-24,Final,Recurve Men's Team Quarterfinal; Recurve Men's Team Semifinal; Recurve Men's Team Bronze Medal Match; Recurve Men's Team Gold Medal Match,19:30:00,23:10:00
