Zone,Location
Valley Zone,"LA River Recreation Zone, Encino, CA 91436"
Carson Zone,Dignity Health Sports Park
DTLA Zone,"Crypto.com Arena, 1111 S Figueroa St, Los Angeles, CA 90015"
Long Beach Zone,"Marine Stadium, 5255 E Paoli Way, Long Beach, CA 90803"
Exposition Park Zone,LA Memorial Coliseum
Venice Zone,"Venice Beach, Los Angeles, CA"
Inglewood Zone,"Intuit Dome, 3930 W Century Blvd, Inglewood, CA 90303"
Pomona Zone,"Pomona Fairplex, Fairplex Dr, Pomona, CA 91768"
City of Industry Zone,"Pacific Palms Resort, 1 Industry Hills Pkwy, City of Industry, CA 91744"
Pasadena Zone,"Rose Bowl Aquatics Center, 360 N Arroyo Blvd, Pasadena, CA 91103"
Arcadia Zone,"Santa Anita Park, 285 W Huntington Dr, Arcadia, CA 91007"
Riviera Zone,"Riviera Country Club, 1250 Capri Dr, Pacific Palisades, CA 90272"
Port of Los Angeles Zone,"Port of Los Angeles, Los Angeles, CA"
Whittier Narrows Zone,"LA Clays Shooting Sports Park, 831 Rosemead Blvd, South El Monte, CA 91733"
Universal City Zone,Universal Studios Hollywood
Trestles Beach Zone,"Trestles Beach, California"
Anaheim Zone,"Honda Center, 2695 E Katella Ave, Anaheim, CA 92806"
