,Valley Zone,Carson Zone,DTLA Zone,Long Beach Zone,Exposition Park Zone,Venice Zone,Inglewood Zone,Pomona Zone,City of Industry Zone,Pasadena Zone,Arcadia Zone,Riviera Zone,Port of Los Angeles Zone,Whittier Narrows Zone,Universal City Zone,Trestles Beach Zone,Anaheim Zone
Valley Zone,0.0,138.63,99.93,191.05,108.05,136.12,139.97,188.6,183.32,151.38,172.15,80.47,,157.95,73.05,295.42,163.33
Carson Zone,144.13,0.0,47.15,87.03,52.42,108.85,70.23,157.18,162.28,126.98,145.23,147.52,,109.32,96.62,306.92,163.3
DTLA Zone,96.4,50.15,0.0,94.68,18.2,75.02,53.77,97.23,99.22,69.03,82.43,101.1,,66.57,50.88,214.05,88.73
Long Beach Zone,190.75,85.1,97.72,0.0,120.07,156.37,100.23,186.58,168.1,159.55,172.63,204.13,,145.32,141.23,234.78,110.07
Exposition Park Zone,117.23,53.68,19.93,102.3,0.0,71.62,67.92,117.83,122.18,90.62,99.28,97.7,,80.1,68.48,242.17,110.08
Venice Zone,128.8,105.87,80.05,158.28,69.47,0.0,73.48,165.83,168.73,137.63,154.38,65.82,,147.37,114.48,280.65,148.57
Inglewood Zone,155.85,59.92,68.88,118.02,65.6,74.2,0.0,157.75,160.57,127.55,145.8,122.87,,126.1,116.4,235.85,193.87
Pomona Zone,171.42,149.65,97.15,183.47,118.65,166.8,166.28,0.0,103.45,83.8,76.22,191.57,,104.07,127.37,267.83,146.22
City of Industry Zone,192.15,155.53,108.98,152.98,129.88,187.77,163.08,97.98,0.0,117.78,119.18,204.85,,109.78,142.63,284.8,152.72
Pasadena Zone,135.17,124.43,71.53,157.85,96.88,141.18,128.05,89.52,124.72,0.0,74.72,166.45,,115.98,117.82,273.05,140.97
Arcadia Zone,172.85,139.42,86.03,143.83,107.53,158.78,141.27,79.9,122.33,85.23,0.0,183.72,,92.05,122.5,373.1,143.87
Riviera Zone,97.82,137.32,93.42,189.73,90.92,66.8,111.1,187.28,202.28,163.08,170.83,0.0,,176.63,103.93,314.1,182.02
Port of Los Angeles Zone,,,,,,,,,,,,,0.0,,,,
Whittier Narrows Zone,182.52,130.5,89.48,142.32,105.98,163.23,141.42,140.2,114.48,131.22,122.23,185.9,,0.0,135.0,266.58,134.5
Universal City Zone,74.77,86.78,47.73,146.25,55.85,111.18,89.77,136.4,140.12,106.7,126.85,104.1,,103.75,0.0,241.22,109.13
Trestles Beach Zone,353.07,328.42,271.03,241.83,289.35,361.68,343.17,338.9,341.75,314.2,327.45,360.77,,318.25,299.55,0.0,221.4
Anaheim Zone,164.52,145.12,86.48,116.97,109.12,171.13,144.62,150.35,165.07,122.15,138.9,172.22,,159.7,111.0,164.4,0.0
